ensembl_gene_id	hgnc_symbol
ENSG00000002330	BAD
ENSG00000012048	BRCA1
ENSG00000012061	ERCC1
ENSG00000015475	BID
ENSG00000026103	FAS
ENSG00000048392	RRM2B
ENSG00000051180	RAD51
ENSG00000064012	CASP8
ENSG00000073050	XRCC1
ENSG00000076242	MLH1
ENSG00000079246	XRCC5
ENSG00000079999	KEAP1
ENSG00000080546	SESN1
ENSG00000087088	BAX
ENSG00000095002	MSH2
ENSG00000099860	GADD45B
ENSG00000100292	HMOX1
ENSG00000101412	E2F1
ENSG00000104687	GSR
ENSG00000105327	BBC3
ENSG00000112096	SOD2
ENSG00000113328	CCNG1
ENSG00000116044	NFE2L2
ENSG00000116062	MSH6
ENSG00000116717	GADD45A
ENSG00000117450	PRDX1
ENSG00000117560	FASLG
ENSG00000120868	APAF1
ENSG00000120889	TNFRSF10B
ENSG00000121691	CAT
ENSG00000124762	CDKN1A
ENSG00000130766	SESN2
ENSG00000132906	CASP9
ENSG00000134574	DDB2
ENSG00000135679	MDM2
ENSG00000136810	TXN
ENSG00000136936	XPA
ENSG00000139618	BRCA2
ENSG00000139687	RB1
ENSG00000141510	TP53
ENSG00000141682	PMAIP1
ENSG00000142168	SOD1
ENSG00000143799	PARP1
ENSG00000149311	ATM
ENSG00000149554	CHEK1
ENSG00000154767	XPC
ENSG00000158402	CDC25C
ENSG00000159388	BTG2
ENSG00000164045	CDC25A
ENSG00000164305	CASP3
ENSG00000165806	CASP7
ENSG00000166483	WEE1
ENSG00000167468	GPX4
ENSG00000167815	PRDX2
ENSG00000171791	BCL2
ENSG00000172667	ZMAT3
ENSG00000175054	ATR
ENSG00000181019	NQO1
ENSG00000183765	CHEK2
ENSG00000196419	XRCC6
ENSG00000198431	TXNRD1
ENSG00000233276	GPX1
ENSG00000271303	SRXN1
