original_gene_id	gene	gene_symbol_mapped	effect_size	adjusted_p_value	raw_p_value	cell_type	comparison	dataset_name	timepoint	ensembl_id	source_file
PF4	PF4	PF4	0.269196542720839	0.0	0.0	B Cell	(R+45)_vs_(R+1)	OSD-570_PBMC_snRNA	unknown		C:\Users\jrcra\spaceflight-damage-response\data\raw\GLDS-562_snRNA-Seq_PBMC_Gene_Expression_snRNA-seq_Processed_Data.xlsx
PPBP	PPBP	PPBP	0.417471313142134	0.0	0.0	B Cell	(R+45)_vs_(R+1)	OSD-570_PBMC_snRNA	unknown		C:\Users\jrcra\spaceflight-damage-response\data\raw\GLDS-562_snRNA-Seq_PBMC_Gene_Expression_snRNA-seq_Processed_Data.xlsx
RPL41	RPL41	RPL41	-1.96712569826403	0.0	0.0	B Cell	(R+45)_vs_(R+1)	OSD-570_PBMC_snRNA	unknown		C:\Users\jrcra\spaceflight-damage-response\data\raw\GLDS-562_snRNA-Seq_PBMC_Gene_Expression_snRNA-seq_Processed_Data.xlsx
LYZ	LYZ	LYZ	0.603566951523733	0.0	0.0	B Cell	(R+45)_vs_(R+1)	OSD-570_PBMC_snRNA	unknown		C:\Users\jrcra\spaceflight-damage-response\data\raw\GLDS-562_snRNA-Seq_PBMC_Gene_Expression_snRNA-seq_Processed_Data.xlsx
PLCG2	PLCG2	PLCG2	2.18215120262709	0.0	0.0	B Cell	(R+45)_vs_(R+1)	OSD-570_PBMC_snRNA	unknown		C:\Users\jrcra\spaceflight-damage-response\data\raw\GLDS-562_snRNA-Seq_PBMC_Gene_Expression_snRNA-seq_Processed_Data.xlsx
RPS11	RPS11	RPS11	-1.80502533469924	4.13089978693248e-289	1.34992313549638e-293	B Cell	(R+45)_vs_(R+1)	OSD-570_PBMC_snRNA	unknown		C:\Users\jrcra\spaceflight-damage-response\data\raw\GLDS-562_snRNA-Seq_PBMC_Gene_Expression_snRNA-seq_Processed_Data.xlsx
RPS27	RPS27	RPS27	-1.80070716316898	3.59773827940621e-288	1.17569304251698e-292	B Cell	(R+45)_vs_(R+1)	OSD-570_PBMC_snRNA	unknown		C:\Users\jrcra\spaceflight-damage-response\data\raw\GLDS-562_snRNA-Seq_PBMC_Gene_Expression_snRNA-seq_Processed_Data.xlsx
RPS18	RPS18	RPS18	-1.8806600836817	8.94005336982185e-288	2.92149059502037e-292	B Cell	(R+45)_vs_(R+1)	OSD-570_PBMC_snRNA	unknown		C:\Users\jrcra\spaceflight-damage-response\data\raw\GLDS-562_snRNA-Seq_PBMC_Gene_Expression_snRNA-seq_Processed_Data.xlsx
RPL13	RPL13	RPL13	-1.80895943959048	3.54665838870776e-286	1.15900081327661e-290	B Cell	(R+45)_vs_(R+1)	OSD-570_PBMC_snRNA	unknown		C:\Users\jrcra\spaceflight-damage-response\data\raw\GLDS-562_snRNA-Seq_PBMC_Gene_Expression_snRNA-seq_Processed_Data.xlsx
RPL13A	RPL13A	RPL13A	-1.79513630962562	8.6055342072927e-286	2.81217417969763e-290	B Cell	(R+45)_vs_(R+1)	OSD-570_PBMC_snRNA	unknown		C:\Users\jrcra\spaceflight-damage-response\data\raw\GLDS-562_snRNA-Seq_PBMC_Gene_Expression_snRNA-seq_Processed_Data.xlsx
RPL10	RPL10	RPL10	-1.79438218721124	6.79746504974357e-282	2.22132121490918e-286	B Cell	(R+45)_vs_(R+1)	OSD-570_PBMC_snRNA	unknown		C:\Users\jrcra\spaceflight-damage-response\data\raw\GLDS-562_snRNA-Seq_PBMC_Gene_Expression_snRNA-seq_Processed_Data.xlsx
RPL28	RPL28	RPL28	-1.76936405228554	1.99323035198355e-278	6.51361181655354e-283	B Cell	(R+45)_vs_(R+1)	OSD-570_PBMC_snRNA	unknown		C:\Users\jrcra\spaceflight-damage-response\data\raw\GLDS-562_snRNA-Seq_PBMC_Gene_Expression_snRNA-seq_Processed_Data.xlsx
RPL30	RPL30	RPL30	-1.69300661975785	4.71160491613484e-274	1.53968985200969e-278	B Cell	(R+45)_vs_(R+1)	OSD-570_PBMC_snRNA	unknown		C:\Users\jrcra\spaceflight-damage-response\data\raw\GLDS-562_snRNA-Seq_PBMC_Gene_Expression_snRNA-seq_Processed_Data.xlsx
RPLP2	RPLP2	RPLP2	-1.65652748765676	4.55443153640957e-269	1.48832768092859e-273	B Cell	(R+45)_vs_(R+1)	OSD-570_PBMC_snRNA	unknown		C:\Users\jrcra\spaceflight-damage-response\data\raw\GLDS-562_snRNA-Seq_PBMC_Gene_Expression_snRNA-seq_Processed_Data.xlsx
RPLP1	RPLP1	RPLP1	-1.72439085812418	4.64376247805713e-268	1.51751984512177e-272	B Cell	(R+45)_vs_(R+1)	OSD-570_PBMC_snRNA	unknown		C:\Users\jrcra\spaceflight-damage-response\data\raw\GLDS-562_snRNA-Seq_PBMC_Gene_Expression_snRNA-seq_Processed_Data.xlsx
RPS12	RPS12	RPS12	-1.70669464025197	6.15582175475144e-268	2.01164071590845e-272	B Cell	(R+45)_vs_(R+1)	OSD-570_PBMC_snRNA	unknown		C:\Users\jrcra\spaceflight-damage-response\data\raw\GLDS-562_snRNA-Seq_PBMC_Gene_Expression_snRNA-seq_Processed_Data.xlsx
RPS16	RPS16	RPS16	-1.65292274377374	1.30728741583694e-266	4.27204148830737e-271	B Cell	(R+45)_vs_(R+1)	OSD-570_PBMC_snRNA	unknown		C:\Users\jrcra\spaceflight-damage-response\data\raw\GLDS-562_snRNA-Seq_PBMC_Gene_Expression_snRNA-seq_Processed_Data.xlsx
RPS27A	RPS27A	RPS27A	-1.60280559322605	1.89407250702332e-264	6.1895771609533e-269	B Cell	(R+45)_vs_(R+1)	OSD-570_PBMC_snRNA	unknown		C:\Users\jrcra\spaceflight-damage-response\data\raw\GLDS-562_snRNA-Seq_PBMC_Gene_Expression_snRNA-seq_Processed_Data.xlsx
RPS14	RPS14	RPS14	-1.66791557117552	8.33476264502181e-264	2.72368963269887e-268	B Cell	(R+45)_vs_(R+1)	OSD-570_PBMC_snRNA	unknown		C:\Users\jrcra\spaceflight-damage-response\data\raw\GLDS-562_snRNA-Seq_PBMC_Gene_Expression_snRNA-seq_Processed_Data.xlsx
RPL11	RPL11	RPL11	-1.5770790444099	6.06353943911047e-258	1.98148408192885e-262	B Cell	(R+45)_vs_(R+1)	OSD-570_PBMC_snRNA	unknown		C:\Users\jrcra\spaceflight-damage-response\data\raw\GLDS-562_snRNA-Seq_PBMC_Gene_Expression_snRNA-seq_Processed_Data.xlsx
RPS19	RPS19	RPS19	-1.59933338382417	1.33660554331695e-257	4.36784923145304e-262	B Cell	(R+45)_vs_(R+1)	OSD-570_PBMC_snRNA	unknown		C:\Users\jrcra\spaceflight-damage-response\data\raw\GLDS-562_snRNA-Seq_PBMC_Gene_Expression_snRNA-seq_Processed_Data.xlsx
RPS2	RPS2	RPS2	-1.62762239598612	3.18377334515983e-257	1.04041480512396e-261	B Cell	(R+45)_vs_(R+1)	OSD-570_PBMC_snRNA	unknown		C:\Users\jrcra\spaceflight-damage-response\data\raw\GLDS-562_snRNA-Seq_PBMC_Gene_Expression_snRNA-seq_Processed_Data.xlsx
MTRNR2L12	MTRNR2L12	MTRNR2L12	2.15452135426134	6.69267989186694e-255	2.18707881829579e-259	B Cell	(R+45)_vs_(R+1)	OSD-570_PBMC_snRNA	unknown		C:\Users\jrcra\spaceflight-damage-response\data\raw\GLDS-562_snRNA-Seq_PBMC_Gene_Expression_snRNA-seq_Processed_Data.xlsx
RPL18A	RPL18A	RPL18A	-1.5589469537125	4.18512229296833e-253	1.36764232965208e-257	B Cell	(R+45)_vs_(R+1)	OSD-570_PBMC_snRNA	unknown		C:\Users\jrcra\spaceflight-damage-response\data\raw\GLDS-562_snRNA-Seq_PBMC_Gene_Expression_snRNA-seq_Processed_Data.xlsx
RPL19	RPL19	RPL19	-1.52585918336404	1.98590336750493e-246	6.48966820530351e-251	B Cell	(R+45)_vs_(R+1)	OSD-570_PBMC_snRNA	unknown		C:\Users\jrcra\spaceflight-damage-response\data\raw\GLDS-562_snRNA-Seq_PBMC_Gene_Expression_snRNA-seq_Processed_Data.xlsx
RPL27A	RPL27A	RPL27A	-1.50501674307249	1.92469534582792e-245	6.28964852726356e-250	B Cell	(R+45)_vs_(R+1)	OSD-570_PBMC_snRNA	unknown		C:\Users\jrcra\spaceflight-damage-response\data\raw\GLDS-562_snRNA-Seq_PBMC_Gene_Expression_snRNA-seq_Processed_Data.xlsx
RPL34	RPL34	RPL34	-1.50967203213995	4.19837925241439e-242	1.37197452776523e-246	B Cell	(R+45)_vs_(R+1)	OSD-570_PBMC_snRNA	unknown		C:\Users\jrcra\spaceflight-damage-response\data\raw\GLDS-562_snRNA-Seq_PBMC_Gene_Expression_snRNA-seq_Processed_Data.xlsx
HIST1H1E	HIST1H1E	HIST1H1E	0.689309812319704	4.09584513149385e-241	1.33846774010452e-245	B Cell	(R+45)_vs_(R+1)	OSD-570_PBMC_snRNA	unknown		C:\Users\jrcra\spaceflight-damage-response\data\raw\GLDS-562_snRNA-Seq_PBMC_Gene_Expression_snRNA-seq_Processed_Data.xlsx
RPS15	RPS15	RPS15	-1.48807497365747	3.60378249298464e-240	1.17766821116455e-244	B Cell	(R+45)_vs_(R+1)	OSD-570_PBMC_snRNA	unknown		C:\Users\jrcra\spaceflight-damage-response\data\raw\GLDS-562_snRNA-Seq_PBMC_Gene_Expression_snRNA-seq_Processed_Data.xlsx
RPL39	RPL39	RPL39	-1.4810807672109	2.21695752651641e-238	7.24472248134509e-243	B Cell	(R+45)_vs_(R+1)	OSD-570_PBMC_snRNA	unknown		C:\Users\jrcra\spaceflight-damage-response\data\raw\GLDS-562_snRNA-Seq_PBMC_Gene_Expression_snRNA-seq_Processed_Data.xlsx
RPS29	RPS29	RPS29	-1.47485772994709	2.42798496428441e-238	7.93433209465185e-243	B Cell	(R+45)_vs_(R+1)	OSD-570_PBMC_snRNA	unknown		C:\Users\jrcra\spaceflight-damage-response\data\raw\GLDS-562_snRNA-Seq_PBMC_Gene_Expression_snRNA-seq_Processed_Data.xlsx
RPL37A	RPL37A	RPL37A	-1.49007411612009	3.42721352560522e-238	1.11996781987687e-242	B Cell	(R+45)_vs_(R+1)	OSD-570_PBMC_snRNA	unknown		C:\Users\jrcra\spaceflight-damage-response\data\raw\GLDS-562_snRNA-Seq_PBMC_Gene_Expression_snRNA-seq_Processed_Data.xlsx
RPS23	RPS23	RPS23	-1.47313612988509	3.39616075433593e-237	1.10982018703177e-241	B Cell	(R+45)_vs_(R+1)	OSD-570_PBMC_snRNA	unknown		C:\Users\jrcra\spaceflight-damage-response\data\raw\GLDS-562_snRNA-Seq_PBMC_Gene_Expression_snRNA-seq_Processed_Data.xlsx
RPS28	RPS28	RPS28	-1.49301400677099	1.45039778777019e-236	4.73970715914575e-241	B Cell	(R+45)_vs_(R+1)	OSD-570_PBMC_snRNA	unknown		C:\Users\jrcra\spaceflight-damage-response\data\raw\GLDS-562_snRNA-Seq_PBMC_Gene_Expression_snRNA-seq_Processed_Data.xlsx
RPS3	RPS3	RPS3	-1.47279863421992	6.57460979479305e-236	2.14849508015851e-240	B Cell	(R+45)_vs_(R+1)	OSD-570_PBMC_snRNA	unknown		C:\Users\jrcra\spaceflight-damage-response\data\raw\GLDS-562_snRNA-Seq_PBMC_Gene_Expression_snRNA-seq_Processed_Data.xlsx
RPL18	RPL18	RPL18	-1.45869961159036	1.72987647281325e-235	5.65300634885541e-240	B Cell	(R+45)_vs_(R+1)	OSD-570_PBMC_snRNA	unknown		C:\Users\jrcra\spaceflight-damage-response\data\raw\GLDS-562_snRNA-Seq_PBMC_Gene_Expression_snRNA-seq_Processed_Data.xlsx
FAU	FAU	FAU	-1.42853471434607	1.3333391723144e-233	4.35717516523775e-238	B Cell	(R+45)_vs_(R+1)	OSD-570_PBMC_snRNA	unknown		C:\Users\jrcra\spaceflight-damage-response\data\raw\GLDS-562_snRNA-Seq_PBMC_Gene_Expression_snRNA-seq_Processed_Data.xlsx
RPS15A	RPS15A	RPS15A	-1.38859293716217	3.21170442892657e-220	1.04954231199195e-224	B Cell	(R+45)_vs_(R+1)	OSD-570_PBMC_snRNA	unknown		C:\Users\jrcra\spaceflight-damage-response\data\raw\GLDS-562_snRNA-Seq_PBMC_Gene_Expression_snRNA-seq_Processed_Data.xlsx
RPL21	RPL21	RPL21	-1.35080384318051	2.18706568943467e-218	7.14703993148808e-223	B Cell	(R+45)_vs_(R+1)	OSD-570_PBMC_snRNA	unknown		C:\Users\jrcra\spaceflight-damage-response\data\raw\GLDS-562_snRNA-Seq_PBMC_Gene_Expression_snRNA-seq_Processed_Data.xlsx
B2M	B2M	B2M	-1.26540512683272	9.58388336854263e-216	3.13188567973028e-220	B Cell	(R+45)_vs_(R+1)	OSD-570_PBMC_snRNA	unknown		C:\Users\jrcra\spaceflight-damage-response\data\raw\GLDS-562_snRNA-Seq_PBMC_Gene_Expression_snRNA-seq_Processed_Data.xlsx
RPL3	RPL3	RPL3	-1.3838111297618	3.56438225479136e-213	1.16479273709727e-217	B Cell	(R+45)_vs_(R+1)	OSD-570_PBMC_snRNA	unknown		C:\Users\jrcra\spaceflight-damage-response\data\raw\GLDS-562_snRNA-Seq_PBMC_Gene_Expression_snRNA-seq_Processed_Data.xlsx
EEF1A1	EEF1A1	EEF1A1	-1.28980661317074	1.35819585338117e-210	4.43840349459551e-215	B Cell	(R+45)_vs_(R+1)	OSD-570_PBMC_snRNA	unknown		C:\Users\jrcra\spaceflight-damage-response\data\raw\GLDS-562_snRNA-Seq_PBMC_Gene_Expression_snRNA-seq_Processed_Data.xlsx
RPL32	RPL32	RPL32	-1.29844463211683	6.10069438498472e-209	1.99362582431447e-213	B Cell	(R+45)_vs_(R+1)	OSD-570_PBMC_snRNA	unknown		C:\Users\jrcra\spaceflight-damage-response\data\raw\GLDS-562_snRNA-Seq_PBMC_Gene_Expression_snRNA-seq_Processed_Data.xlsx
VCAN	VCAN	VCAN	0.554514416157574	2.40038776558968e-208	7.84414811800163e-213	B Cell	(R+45)_vs_(R+1)	OSD-570_PBMC_snRNA	unknown		C:\Users\jrcra\spaceflight-damage-response\data\raw\GLDS-562_snRNA-Seq_PBMC_Gene_Expression_snRNA-seq_Processed_Data.xlsx
RPL23A	RPL23A	RPL23A	-1.30104447627625	5.34254540120627e-206	1.74587281500809e-210	B Cell	(R+45)_vs_(R+1)	OSD-570_PBMC_snRNA	unknown		C:\Users\jrcra\spaceflight-damage-response\data\raw\GLDS-562_snRNA-Seq_PBMC_Gene_Expression_snRNA-seq_Processed_Data.xlsx
RPL37	RPL37	RPL37	-1.30871825693997	4.29437981446173e-205	1.40334623524125e-209	B Cell	(R+45)_vs_(R+1)	OSD-570_PBMC_snRNA	unknown		C:\Users\jrcra\spaceflight-damage-response\data\raw\GLDS-562_snRNA-Seq_PBMC_Gene_Expression_snRNA-seq_Processed_Data.xlsx
RPS20	RPS20	RPS20	-1.29526581042782	1.60683469873973e-204	5.25092218796684e-209	B Cell	(R+45)_vs_(R+1)	OSD-570_PBMC_snRNA	unknown		C:\Users\jrcra\spaceflight-damage-response\data\raw\GLDS-562_snRNA-Seq_PBMC_Gene_Expression_snRNA-seq_Processed_Data.xlsx
RPS21	RPS21	RPS21	-1.32776132865538	4.45453850721719e-204	1.4556839669348e-208	B Cell	(R+45)_vs_(R+1)	OSD-570_PBMC_snRNA	unknown		C:\Users\jrcra\spaceflight-damage-response\data\raw\GLDS-562_snRNA-Seq_PBMC_Gene_Expression_snRNA-seq_Processed_Data.xlsx
RPS6	RPS6	RPS6	-1.25901771263804	1.50379008348872e-198	4.91418608375124e-203	B Cell	(R+45)_vs_(R+1)	OSD-570_PBMC_snRNA	unknown		C:\Users\jrcra\spaceflight-damage-response\data\raw\GLDS-562_snRNA-Seq_PBMC_Gene_Expression_snRNA-seq_Processed_Data.xlsx
RPS25	RPS25	RPS25	-1.24221619851806	2.74620131177589e-198	8.97422081558082e-203	B Cell	(R+45)_vs_(R+1)	OSD-570_PBMC_snRNA	unknown		C:\Users\jrcra\spaceflight-damage-response\data\raw\GLDS-562_snRNA-Seq_PBMC_Gene_Expression_snRNA-seq_Processed_Data.xlsx
RPL9	RPL9	RPL9	-1.2524814541493	5.875996906273e-197	1.92019767532858e-201	B Cell	(R+45)_vs_(R+1)	OSD-570_PBMC_snRNA	unknown		C:\Users\jrcra\spaceflight-damage-response\data\raw\GLDS-562_snRNA-Seq_PBMC_Gene_Expression_snRNA-seq_Processed_Data.xlsx
RPS8	RPS8	RPS8	-1.25115544977768	1.92753532721863e-196	6.29892920891027e-201	B Cell	(R+45)_vs_(R+1)	OSD-570_PBMC_snRNA	unknown		C:\Users\jrcra\spaceflight-damage-response\data\raw\GLDS-562_snRNA-Seq_PBMC_Gene_Expression_snRNA-seq_Processed_Data.xlsx
RPS17	RPS17	RPS17	-1.25938177719497	2.30947228156606e-194	7.54704840222887e-199	B Cell	(R+45)_vs_(R+1)	OSD-570_PBMC_snRNA	unknown		C:\Users\jrcra\spaceflight-damage-response\data\raw\GLDS-562_snRNA-Seq_PBMC_Gene_Expression_snRNA-seq_Processed_Data.xlsx
RPS4X	RPS4X	RPS4X	-1.33641395126917	2.10687951737761e-191	6.88500218090131e-196	B Cell	(R+45)_vs_(R+1)	OSD-570_PBMC_snRNA	unknown		C:\Users\jrcra\spaceflight-damage-response\data\raw\GLDS-562_snRNA-Seq_PBMC_Gene_Expression_snRNA-seq_Processed_Data.xlsx
MT-CO3	MT-CO3	MT-CO3	-1.09683368236458	1.51353384916856e-188	4.94602741468763e-193	B Cell	(R+45)_vs_(R+1)	OSD-570_PBMC_snRNA	unknown		C:\Users\jrcra\spaceflight-damage-response\data\raw\GLDS-562_snRNA-Seq_PBMC_Gene_Expression_snRNA-seq_Processed_Data.xlsx
RPS3A	RPS3A	RPS3A	-1.20075199475158	5.57487818519151e-188	1.82179608025604e-192	B Cell	(R+45)_vs_(R+1)	OSD-570_PBMC_snRNA	unknown		C:\Users\jrcra\spaceflight-damage-response\data\raw\GLDS-562_snRNA-Seq_PBMC_Gene_Expression_snRNA-seq_Processed_Data.xlsx
RPS5	RPS5	RPS5	-1.22420881378391	3.55352098224929e-187	1.16124341761684e-191	B Cell	(R+45)_vs_(R+1)	OSD-570_PBMC_snRNA	unknown		C:\Users\jrcra\spaceflight-damage-response\data\raw\GLDS-562_snRNA-Seq_PBMC_Gene_Expression_snRNA-seq_Processed_Data.xlsx
RPS9	RPS9	RPS9	-1.21083497866094	3.70155020637165e-186	1.20961740020641e-190	B Cell	(R+45)_vs_(R+1)	OSD-570_PBMC_snRNA	unknown		C:\Users\jrcra\spaceflight-damage-response\data\raw\GLDS-562_snRNA-Seq_PBMC_Gene_Expression_snRNA-seq_Processed_Data.xlsx
RPS13	RPS13	RPS13	-1.21539266227332	5.63088018701432e-186	1.84009678997886e-190	B Cell	(R+45)_vs_(R+1)	OSD-570_PBMC_snRNA	unknown		C:\Users\jrcra\spaceflight-damage-response\data\raw\GLDS-562_snRNA-Seq_PBMC_Gene_Expression_snRNA-seq_Processed_Data.xlsx
RPL17	RPL17	RPL17	-1.19230176998363	3.47149412834381e-183	1.13443813219954e-187	B Cell	(R+45)_vs_(R+1)	OSD-570_PBMC_snRNA	unknown		C:\Users\jrcra\spaceflight-damage-response\data\raw\GLDS-562_snRNA-Seq_PBMC_Gene_Expression_snRNA-seq_Processed_Data.xlsx
MARCH1	MARCH1	MARCH1	1.27183139535966	2.43441799715987e-180	7.95535439090184e-185	B Cell	(R+45)_vs_(R+1)	OSD-570_PBMC_snRNA	unknown		C:\Users\jrcra\spaceflight-damage-response\data\raw\GLDS-562_snRNA-Seq_PBMC_Gene_Expression_snRNA-seq_Processed_Data.xlsx
RPL35A	RPL35A	RPL35A	-1.17358643822952	4.4626212778834e-177	1.45832530893873e-181	B Cell	(R+45)_vs_(R+1)	OSD-570_PBMC_snRNA	unknown		C:\Users\jrcra\spaceflight-damage-response\data\raw\GLDS-562_snRNA-Seq_PBMC_Gene_Expression_snRNA-seq_Processed_Data.xlsx
RPL23	RPL23	RPL23	-1.16383838517733	1.17050606226744e-176	3.8250582081221e-181	B Cell	(R+45)_vs_(R+1)	OSD-570_PBMC_snRNA	unknown		C:\Users\jrcra\spaceflight-damage-response\data\raw\GLDS-562_snRNA-Seq_PBMC_Gene_Expression_snRNA-seq_Processed_Data.xlsx
RPL26	RPL26	RPL26	-1.12665235964408	1.03870320548257e-173	3.39434399360339e-178	B Cell	(R+45)_vs_(R+1)	OSD-570_PBMC_snRNA	unknown		C:\Users\jrcra\spaceflight-damage-response\data\raw\GLDS-562_snRNA-Seq_PBMC_Gene_Expression_snRNA-seq_Processed_Data.xlsx
RPL15	RPL15	RPL15	-1.14564590789855	3.27911057098424e-171	1.0715697431405e-175	B Cell	(R+45)_vs_(R+1)	OSD-570_PBMC_snRNA	unknown		C:\Users\jrcra\spaceflight-damage-response\data\raw\GLDS-562_snRNA-Seq_PBMC_Gene_Expression_snRNA-seq_Processed_Data.xlsx
S100A9	S100A9	S100A9	0.34711198459011	9.63925756771016e-170	3.14998123189117e-174	B Cell	(R+45)_vs_(R+1)	OSD-570_PBMC_snRNA	unknown		C:\Users\jrcra\spaceflight-damage-response\data\raw\GLDS-562_snRNA-Seq_PBMC_Gene_Expression_snRNA-seq_Processed_Data.xlsx
RPL8	RPL8	RPL8	-1.09334075425134	5.29284963519457e-164	1.72963289931524e-168	B Cell	(R+45)_vs_(R+1)	OSD-570_PBMC_snRNA	unknown		C:\Users\jrcra\spaceflight-damage-response\data\raw\GLDS-562_snRNA-Seq_PBMC_Gene_Expression_snRNA-seq_Processed_Data.xlsx
TPT1	TPT1	TPT1	-1.11499898917626	9.45259623488437e-164	3.08898278974032e-168	B Cell	(R+45)_vs_(R+1)	OSD-570_PBMC_snRNA	unknown		C:\Users\jrcra\spaceflight-damage-response\data\raw\GLDS-562_snRNA-Seq_PBMC_Gene_Expression_snRNA-seq_Processed_Data.xlsx
RPL7A	RPL7A	RPL7A	-1.1070865885854	3.58428493732923e-163	1.17129666917069e-167	B Cell	(R+45)_vs_(R+1)	OSD-570_PBMC_snRNA	unknown		C:\Users\jrcra\spaceflight-damage-response\data\raw\GLDS-562_snRNA-Seq_PBMC_Gene_Expression_snRNA-seq_Processed_Data.xlsx
RPS26	RPS26	RPS26	-1.16216543383799	1.2887532005685e-162	4.21147413668998e-167	B Cell	(R+45)_vs_(R+1)	OSD-570_PBMC_snRNA	unknown		C:\Users\jrcra\spaceflight-damage-response\data\raw\GLDS-562_snRNA-Seq_PBMC_Gene_Expression_snRNA-seq_Processed_Data.xlsx
STX7	STX7	STX7	0.983794565953402	4.53839303474906e-162	1.48308651179669e-166	B Cell	(R+45)_vs_(R+1)	OSD-570_PBMC_snRNA	unknown		C:\Users\jrcra\spaceflight-damage-response\data\raw\GLDS-562_snRNA-Seq_PBMC_Gene_Expression_snRNA-seq_Processed_Data.xlsx
RPL29	RPL29	RPL29	-1.08863126187781	9.49958997660181e-162	3.10433971981367e-166	B Cell	(R+45)_vs_(R+1)	OSD-570_PBMC_snRNA	unknown		C:\Users\jrcra\spaceflight-damage-response\data\raw\GLDS-562_snRNA-Seq_PBMC_Gene_Expression_snRNA-seq_Processed_Data.xlsx
HLA-B	HLA-B	HLA-B	-1.05838480435404	2.77343257750216e-161	9.06320897193608e-166	B Cell	(R+45)_vs_(R+1)	OSD-570_PBMC_snRNA	unknown		C:\Users\jrcra\spaceflight-damage-response\data\raw\GLDS-562_snRNA-Seq_PBMC_Gene_Expression_snRNA-seq_Processed_Data.xlsx
RPL36	RPL36	RPL36	-1.102320254335	3.94779623074207e-160	1.29008732745403e-164	B Cell	(R+45)_vs_(R+1)	OSD-570_PBMC_snRNA	unknown		C:\Users\jrcra\spaceflight-damage-response\data\raw\GLDS-562_snRNA-Seq_PBMC_Gene_Expression_snRNA-seq_Processed_Data.xlsx
RPS7	RPS7	RPS7	-1.09511141296186	6.13413644938321e-160	2.00455424639169e-164	B Cell	(R+45)_vs_(R+1)	OSD-570_PBMC_snRNA	unknown		C:\Users\jrcra\spaceflight-damage-response\data\raw\GLDS-562_snRNA-Seq_PBMC_Gene_Expression_snRNA-seq_Processed_Data.xlsx
RPL12	RPL12	RPL12	-1.05817566674891	5.38471092748705e-158	1.7596519484615e-162	B Cell	(R+45)_vs_(R+1)	OSD-570_PBMC_snRNA	unknown		C:\Users\jrcra\spaceflight-damage-response\data\raw\GLDS-562_snRNA-Seq_PBMC_Gene_Expression_snRNA-seq_Processed_Data.xlsx
RPSA	RPSA	RPSA	-1.07724101082621	1.32470306013366e-155	4.32895349868849e-160	B Cell	(R+45)_vs_(R+1)	OSD-570_PBMC_snRNA	unknown		C:\Users\jrcra\spaceflight-damage-response\data\raw\GLDS-562_snRNA-Seq_PBMC_Gene_Expression_snRNA-seq_Processed_Data.xlsx
RPS24	RPS24	RPS24	-1.05440433921439	3.15317271509904e-155	1.03041492601517e-159	B Cell	(R+45)_vs_(R+1)	OSD-570_PBMC_snRNA	unknown		C:\Users\jrcra\spaceflight-damage-response\data\raw\GLDS-562_snRNA-Seq_PBMC_Gene_Expression_snRNA-seq_Processed_Data.xlsx
RPL10A	RPL10A	RPL10A	-1.05772099373433	2.39291135219028e-152	7.81971619290312e-157	B Cell	(R+45)_vs_(R+1)	OSD-570_PBMC_snRNA	unknown		C:\Users\jrcra\spaceflight-damage-response\data\raw\GLDS-562_snRNA-Seq_PBMC_Gene_Expression_snRNA-seq_Processed_Data.xlsx
MBNL1	MBNL1	MBNL1	0.936607839431397	3.0025051329562e-145	9.81178763098003e-150	B Cell	(R+45)_vs_(R+1)	OSD-570_PBMC_snRNA	unknown		C:\Users\jrcra\spaceflight-damage-response\data\raw\GLDS-562_snRNA-Seq_PBMC_Gene_Expression_snRNA-seq_Processed_Data.xlsx
MT-ND3	MT-ND3	MT-ND3	-0.972389560861069	1.89460207762748e-142	6.19130772728826e-147	B Cell	(R+45)_vs_(R+1)	OSD-570_PBMC_snRNA	unknown		C:\Users\jrcra\spaceflight-damage-response\data\raw\GLDS-562_snRNA-Seq_PBMC_Gene_Expression_snRNA-seq_Processed_Data.xlsx
UBA52	UBA52	UBA52	-1.00069171498397	4.30291442806477e-141	1.40613523351027e-145	B Cell	(R+45)_vs_(R+1)	OSD-570_PBMC_snRNA	unknown		C:\Users\jrcra\spaceflight-damage-response\data\raw\GLDS-562_snRNA-Seq_PBMC_Gene_Expression_snRNA-seq_Processed_Data.xlsx
RIPOR2	RIPOR2	RIPOR2	0.906807464424621	1.32792272308859e-138	4.33947492921341e-143	B Cell	(R+45)_vs_(R+1)	OSD-570_PBMC_snRNA	unknown		C:\Users\jrcra\spaceflight-damage-response\data\raw\GLDS-562_snRNA-Seq_PBMC_Gene_Expression_snRNA-seq_Processed_Data.xlsx
EIF1	EIF1	EIF1	-0.976568668073426	4.23900749903443e-137	1.38525129866162e-141	B Cell	(R+45)_vs_(R+1)	OSD-570_PBMC_snRNA	unknown		C:\Users\jrcra\spaceflight-damage-response\data\raw\GLDS-562_snRNA-Seq_PBMC_Gene_Expression_snRNA-seq_Processed_Data.xlsx
