gene,original_gene_id,ensembl_id,pathway,effect_size,raw_p_value,adjusted_p_value,gene_signal,direction,dataset_name,comparison,cell_type,evidence_tier_of_parent_pathway,parent_pathway_overlap_count
ATM,ATM,,DNA_repair,0.792716107620199,1.98130034056067e-60,6.06297717214971e-56,7.9271610762019895,up,OSD-570_PBMC_snRNA,(R+45)_vs_(R+1),Natural Killer Cell,gene-level signal only,2
ATM,ATM,,DNA_repair,0.683371457532247,1.51373356542649e-38,4.63217608356161e-34,6.83371457532247,up,OSD-570_PBMC_snRNA,(R+45)_vs_(R+1),Other T Cell,gene-level signal only,2
ATM,ATM,,DNA_repair,0.6381929845689,1.0231408757707e-85,3.13091339394592e-81,6.381929845688999,up,OSD-570_PBMC_snRNA,(R+45)_vs_(R+1),CD8+ T Cell,gene-level signal only,1
ATM,ATM,,DNA_repair,0.505733275689833,1.10361465849782e-136,3.37717121646917e-132,5.0573327568983295,up,OSD-570_PBMC_snRNA,(R+45)_vs_(R+1),CD4+ T Cell,gene-level signal only,1
ATR,ATR,,DNA_repair,0.419501773948361,4.45507799335986e-15,1.36329841674805e-10,4.138556605445287,up,OSD-570_PBMC_snRNA,(R+45)_vs_(R+1),Other T Cell,gene-level signal only,2
ATM,ATM,,DNA_repair,0.392825970032616,9.84682374059198e-36,3.01322653285855e-31,3.92825970032616,up,OSD-570_PBMC_snRNA,(R+45)_vs_(R+1),B Cell,gene-level signal only,1
ATM,ATM,,DNA_repair,0.345612009199848,2.12654226235083e-120,6.50743197701977e-116,3.4561200919984802,up,OSD-570_PBMC_snRNA,(R+45)_vs_(R+1),PBMC Pseudobulk,gene-level signal only,1
ATR,ATR,,DNA_repair,0.423728977831044,4.61852412097027e-12,1.41331456625811e-07,2.902442296825451,up,OSD-570_PBMC_snRNA,(R+45)_vs_(R+1),Other,limited pathway-level signal,3
XRCC5,XRCC5,,DNA_repair,0.302384677445719,2.74837515533122e-10,8.41030281282907e-06,1.5346591973781722,up,OSD-570_PBMC_snRNA,(R+45)_vs_(R+1),Other,limited pathway-level signal,3
ATR,ATR,,DNA_repair,0.269016602686105,3.60876646718576e-09,0.000110431862662352,1.0644733023327975,up,OSD-570_PBMC_snRNA,(R+45)_vs_(R+1),Natural Killer Cell,gene-level signal only,2
ATM,ATM,,DNA_repair,0.447717450468995,5.98226642019811e-07,0.0183063334724482,0.7778636853818024,up,OSD-570_PBMC_snRNA,(R+45)_vs_(R+1),CD16+ Monocyte,limited pathway-level signal,3
ATM,ATM,,DNA_repair,0.514432819027536,4.96485093363113e-06,0.151929403420046,0.4209902990801619,up,OSD-570_PBMC_snRNA,(R+45)_vs_(R+1),Other,limited pathway-level signal,3
XRCC6,XRCC6,,DNA_repair,-0.285821116421898,3.09049576020977e-06,0.0945722607581792,0.2927483424502429,down,OSD-570_PBMC_snRNA,(R+45)_vs_(R+1),CD16+ Monocyte,limited pathway-level signal,3
XRCC6,XRCC6,,DNA_repair,-0.34129255618798,1.8103647937936e-05,0.55398973054878,0.08754095562750185,down,OSD-570_PBMC_snRNA,(R+45)_vs_(R+1),Dendritic Cell,limited pathway-level signal,3
XRCC5,ENSG00000079246.16,ENSG00000079246,DNA_repair,-0.148,0.0914288477213509,0.997120482783777,0.00018534963574658354,down,OSD-569_whole_blood_RNA,"(R+82) vs (L-92, L-44, L-3)",unknown,stronger pathway-level coverage,21
XRCC6,ENSG00000196419.13,ENSG00000196419,DNA_repair,-0.139,0.110969299480562,0.997120482783777,0.00017407837411334537,down,OSD-569_whole_blood_RNA,"(R+82) vs (L-92, L-44, L-3)",unknown,stronger pathway-level coverage,21
GADD45B,ENSG00000099860.9,ENSG00000099860,DNA_repair,-0.128,0.0403417659664221,0.997120482783777,0.0001603023876727209,down,OSD-569_whole_blood_RNA,"(R+82) vs (L-92, L-44, L-3)",unknown,stronger pathway-level coverage,21
ERCC1,ENSG00000012061.16,ENSG00000012061,DNA_repair,0.118,0.123498270655349,0.997120482783777,0.00014777876363578958,up,OSD-569_whole_blood_RNA,"(R+82) vs (L-92, L-44, L-3)",unknown,stronger pathway-level coverage,21
PARP1,ENSG00000143799.14,ENSG00000143799,DNA_repair,-0.108,0.066483980921216,0.997120482783777,0.00013525513959885825,down,OSD-569_whole_blood_RNA,"(R+82) vs (L-92, L-44, L-3)",unknown,stronger pathway-level coverage,21
XPA,ENSG00000136936.11,ENSG00000136936,DNA_repair,0.064,0.133714874055964,0.997120482783777,8.015119383636045e-05,up,OSD-569_whole_blood_RNA,"(R+82) vs (L-92, L-44, L-3)",unknown,stronger pathway-level coverage,21
MSH2,ENSG00000095002.15,ENSG00000095002,DNA_repair,0.057,0.17094912043155,0.997120482783777,7.138465701050853e-05,up,OSD-569_whole_blood_RNA,"(R+82) vs (L-92, L-44, L-3)",unknown,stronger pathway-level coverage,21
ATM,ENSG00000149311.20,ENSG00000149311,DNA_repair,-0.044,0.382917244321264,0.997120482783777,5.510394576249781e-05,down,OSD-569_whole_blood_RNA,"(R+82) vs (L-92, L-44, L-3)",unknown,stronger pathway-level coverage,21
TP53,ENSG00000141510.18,ENSG00000141510,DNA_repair,-0.04,0.544316527442027,0.997120482783777,5.009449614772528e-05,down,OSD-569_whole_blood_RNA,"(R+82) vs (L-92, L-44, L-3)",unknown,stronger pathway-level coverage,21
ATR,ENSG00000175054.16,ENSG00000175054,DNA_repair,-0.034,0.303436025348256,0.997120482783777,4.258032172556649e-05,down,OSD-569_whole_blood_RNA,"(R+82) vs (L-92, L-44, L-3)",unknown,stronger pathway-level coverage,21
DDB2,ENSG00000134574.12,ENSG00000134574,DNA_repair,-0.028,0.490090450745512,0.997120482783777,3.50661473034077e-05,down,OSD-569_whole_blood_RNA,"(R+82) vs (L-92, L-44, L-3)",unknown,stronger pathway-level coverage,21
BRCA1,ENSG00000012048.24,ENSG00000012048,DNA_repair,0.027,0.23972558405151,0.997120482783777,3.381378489971456e-05,up,OSD-569_whole_blood_RNA,"(R+82) vs (L-92, L-44, L-3)",unknown,stronger pathway-level coverage,21
XRCC1,ENSG00000073050.12,ENSG00000073050,DNA_repair,-0.016,0.71004284978055,0.997120482783777,2.0037798459090114e-05,down,OSD-569_whole_blood_RNA,"(R+82) vs (L-92, L-44, L-3)",unknown,stronger pathway-level coverage,21
