rank,pathway,overlapping_gene_count,pathway_rank_metric,average_signed_effect,average_absolute_effect,upregulated_gene_count,downregulated_gene_count,significant_gene_count,direction,dataset_name,comparison,cell_type,interpretation_label,evidence_tier
1,apoptosis,1,7.93776829362397,0.793776829362397,0.793776829362397,1,0,1,positive,OSD-570_PBMC_snRNA,(R+45)_vs_(R+1),Other T Cell,insufficient overlapping genes,gene-level signal only
2,cell_cycle_checkpoint,1,6.381929845688999,0.6381929845689,0.6381929845689,1,0,1,positive,OSD-570_PBMC_snRNA,(R+45)_vs_(R+1),CD8+ T Cell,insufficient overlapping genes,gene-level signal only
3,DNA_repair,1,6.381929845688999,0.6381929845689,0.6381929845689,1,0,1,positive,OSD-570_PBMC_snRNA,(R+45)_vs_(R+1),CD8+ T Cell,insufficient overlapping genes,gene-level signal only
4,apoptosis,1,5.95238068163094,0.595238068163094,0.595238068163094,1,0,1,positive,OSD-570_PBMC_snRNA,(R+45)_vs_(R+1),CD4+ T Cell,insufficient overlapping genes,gene-level signal only
5,apoptosis,1,5.78555078321826,0.578555078321826,0.578555078321826,1,0,1,positive,OSD-570_PBMC_snRNA,(R+45)_vs_(R+1),CD8+ T Cell,insufficient overlapping genes,gene-level signal only
6,cell_cycle_checkpoint,2,5.486135590383879,0.551436615740304,0.551436615740304,2,0,2,positive,OSD-570_PBMC_snRNA,(R+45)_vs_(R+1),Other T Cell,insufficient overlapping genes,gene-level signal only
7,DNA_repair,2,5.486135590383879,0.551436615740304,0.551436615740304,2,0,2,positive,OSD-570_PBMC_snRNA,(R+45)_vs_(R+1),Other T Cell,insufficient overlapping genes,gene-level signal only
8,DNA_repair,1,5.0573327568983295,0.505733275689833,0.505733275689833,1,0,1,positive,OSD-570_PBMC_snRNA,(R+45)_vs_(R+1),CD4+ T Cell,insufficient overlapping genes,gene-level signal only
9,cell_cycle_checkpoint,1,5.0573327568983295,0.505733275689833,0.505733275689833,1,0,1,positive,OSD-570_PBMC_snRNA,(R+45)_vs_(R+1),CD4+ T Cell,insufficient overlapping genes,gene-level signal only
10,apoptosis,1,4.7580653840106,0.47580653840106,0.47580653840106,1,0,1,positive,OSD-570_PBMC_snRNA,(R+45)_vs_(R+1),B Cell,insufficient overlapping genes,gene-level signal only
11,DNA_repair,2,4.4958171892673935,0.530866355153152,0.530866355153152,2,0,2,positive,OSD-570_PBMC_snRNA,(R+45)_vs_(R+1),Natural Killer Cell,insufficient overlapping genes,gene-level signal only
12,cell_cycle_checkpoint,2,4.4958171892673935,0.530866355153152,0.530866355153152,2,0,2,positive,OSD-570_PBMC_snRNA,(R+45)_vs_(R+1),Natural Killer Cell,insufficient overlapping genes,gene-level signal only
13,cell_cycle_checkpoint,2,4.46873466702859,0.446873466702859,0.446873466702859,2,0,2,positive,OSD-570_PBMC_snRNA,(R+45)_vs_(R+1),B Cell,insufficient overlapping genes,gene-level signal only
14,DNA_repair,1,3.92825970032616,0.392825970032616,0.392825970032616,1,0,1,positive,OSD-570_PBMC_snRNA,(R+45)_vs_(R+1),B Cell,insufficient overlapping genes,gene-level signal only
15,oxidative_stress,1,3.692719411165522,0.376286556983365,0.376286556983365,1,0,1,positive,OSD-570_PBMC_snRNA,(R+45)_vs_(R+1),Other,insufficient overlapping genes,gene-level signal only
16,cell_cycle_checkpoint,2,3.55620187509759,0.355620187509759,0.355620187509759,2,0,2,positive,OSD-570_PBMC_snRNA,(R+45)_vs_(R+1),PBMC Pseudobulk,insufficient overlapping genes,gene-level signal only
17,DNA_repair,1,3.4561200919984802,0.345612009199848,0.345612009199848,1,0,1,positive,OSD-570_PBMC_snRNA,(R+45)_vs_(R+1),PBMC Pseudobulk,insufficient overlapping genes,gene-level signal only
18,p53_pathway,1,3.3597696253731,0.33597696253731,0.33597696253731,1,0,1,positive,OSD-570_PBMC_snRNA,(R+45)_vs_(R+1),B Cell,insufficient overlapping genes,gene-level signal only
19,cell_cycle_checkpoint,1,3.23828610529616,0.323828610529616,0.323828610529616,1,0,1,positive,OSD-570_PBMC_snRNA,(R+45)_vs_(R+1),CD14+ Monocyte,insufficient overlapping genes,gene-level signal only
20,apoptosis,1,2.7529680184225,0.27529680184225,0.27529680184225,1,0,1,positive,OSD-570_PBMC_snRNA,(R+45)_vs_(R+1),CD14+ Monocyte,insufficient overlapping genes,gene-level signal only
21,apoptosis,1,2.0172043578870933,0.310521615288051,0.310521615288051,1,0,1,positive,OSD-570_PBMC_snRNA,(R+45)_vs_(R+1),Other,insufficient overlapping genes,gene-level signal only
22,cell_cycle_checkpoint,2,1.6617162979528064,0.46908089842929,0.46908089842929,2,0,1,positive,OSD-570_PBMC_snRNA,(R+45)_vs_(R+1),Other,insufficient overlapping genes,gene-level signal only
23,DNA_repair,3,1.619363931094595,0.41351549143476635,0.41351549143476635,3,0,2,positive,OSD-570_PBMC_snRNA,(R+45)_vs_(R+1),Other,moderate positive DNA damage-response signature,limited pathway-level signal
24,oxidative_stress,4,1.135604041940302,-0.3466468461270288,0.3466468461270288,0,4,3,negative,OSD-570_PBMC_snRNA,(R+45)_vs_(R+1),CD16+ Monocyte,pathway genes changed but mostly downregulated,limited pathway-level signal
25,cell_cycle_checkpoint,3,1.06554657426435,0.42145761808633336,0.42145761808633336,3,0,2,positive,OSD-570_PBMC_snRNA,(R+45)_vs_(R+1),CD16+ Monocyte,moderate positive DNA damage-response signature,limited pathway-level signal
