dataset_name,comparison,cell_type,pathway,pathway_rank_metric,evidence_tier,average_signed_effect,average_absolute_effect,overlapping_gene_count,upregulated_gene_count,downregulated_gene_count,significant_gene_count,direction,interpretation_label
OSD-569_whole_blood_RNA,(R+82)_vs_(L-92_L-44_L-3),unknown,DNA_repair,,no overlapping genes,,,0,0,0,0,unknown,insufficient overlapping genes
OSD-569_whole_blood_RNA,(R+82)_vs_(L-92_L-44_L-3),unknown,p53_pathway,,no overlapping genes,,,0,0,0,0,unknown,insufficient overlapping genes
OSD-569_whole_blood_RNA,(R+82)_vs_(L-92_L-44_L-3),unknown,oxidative_stress,,no overlapping genes,,,0,0,0,0,unknown,insufficient overlapping genes
OSD-569_whole_blood_RNA,(R+82)_vs_(L-92_L-44_L-3),unknown,apoptosis,,no overlapping genes,,,0,0,0,0,unknown,insufficient overlapping genes
OSD-569_whole_blood_RNA,(R+82)_vs_(L-92_L-44_L-3),unknown,cell_cycle_checkpoint,,no overlapping genes,,,0,0,0,0,unknown,insufficient overlapping genes
OSD-570_PBMC_snRNA,(R+45)_vs_(R+1),B Cell,DNA_repair,3.92825970032616,gene-level signal only,0.392825970032616,0.392825970032616,1,1,0,1,positive,insufficient overlapping genes
OSD-570_PBMC_snRNA,(R+45)_vs_(R+1),B Cell,p53_pathway,3.3597696253731,gene-level signal only,0.33597696253731,0.33597696253731,1,1,0,1,positive,insufficient overlapping genes
OSD-570_PBMC_snRNA,(R+45)_vs_(R+1),B Cell,oxidative_stress,,no overlapping genes,,,0,0,0,0,unknown,insufficient overlapping genes
OSD-570_PBMC_snRNA,(R+45)_vs_(R+1),B Cell,apoptosis,4.7580653840106,gene-level signal only,0.47580653840106,0.47580653840106,1,1,0,1,positive,insufficient overlapping genes
OSD-570_PBMC_snRNA,(R+45)_vs_(R+1),B Cell,cell_cycle_checkpoint,4.46873466702859,gene-level signal only,0.446873466702859,0.446873466702859,2,2,0,2,positive,insufficient overlapping genes
OSD-570_PBMC_snRNA,(R+45)_vs_(R+1),CD14+ Monocyte,DNA_repair,,no overlapping genes,,,0,0,0,0,unknown,insufficient overlapping genes
OSD-570_PBMC_snRNA,(R+45)_vs_(R+1),CD14+ Monocyte,p53_pathway,,no overlapping genes,,,0,0,0,0,unknown,insufficient overlapping genes
OSD-570_PBMC_snRNA,(R+45)_vs_(R+1),CD14+ Monocyte,oxidative_stress,,no overlapping genes,,,0,0,0,0,unknown,insufficient overlapping genes
OSD-570_PBMC_snRNA,(R+45)_vs_(R+1),CD14+ Monocyte,apoptosis,2.7529680184225,gene-level signal only,0.27529680184225,0.27529680184225,1,1,0,1,positive,insufficient overlapping genes
OSD-570_PBMC_snRNA,(R+45)_vs_(R+1),CD14+ Monocyte,cell_cycle_checkpoint,3.23828610529616,gene-level signal only,0.323828610529616,0.323828610529616,1,1,0,1,positive,insufficient overlapping genes
OSD-570_PBMC_snRNA,(R+45)_vs_(R+1),CD16+ Monocyte,p53_pathway,,no overlapping genes,,,0,0,0,0,unknown,insufficient overlapping genes
OSD-570_PBMC_snRNA,(R+45)_vs_(R+1),CD16+ Monocyte,apoptosis,0.635263763162641,gene-level signal only,-0.344844564522496,0.344844564522496,1,0,1,1,negative,insufficient overlapping genes
OSD-570_PBMC_snRNA,(R+45)_vs_(R+1),CD4+ T Cell,DNA_repair,5.0573327568983295,gene-level signal only,0.505733275689833,0.505733275689833,1,1,0,1,positive,insufficient overlapping genes
OSD-570_PBMC_snRNA,(R+45)_vs_(R+1),CD4+ T Cell,p53_pathway,,no overlapping genes,,,0,0,0,0,unknown,insufficient overlapping genes
