dataset_name,comparison,cell_type,pathway,pathway_rank_metric,evidence_tier,average_signed_effect,average_absolute_effect,overlapping_gene_count,upregulated_gene_count,downregulated_gene_count,significant_gene_count,direction,interpretation_label
OSD-569_whole_blood_RNA,"(R+82) vs (L-92, L-44, L-3)",unknown,DNA_repair,5.946924333861205e-05,stronger pathway-level coverage,-0.02076190476190476,0.04752380952380953,21,8,13,0,negative,weak or unclear signature
OSD-569_whole_blood_RNA,"(R+82) vs (L-92, L-44, L-3)",unknown,p53_pathway,4.5263955447766054e-05,stronger pathway-level coverage,-0.019142857142857145,0.03614285714285714,14,2,12,0,negative,weak or unclear signature
OSD-569_whole_blood_RNA,"(R+82) vs (L-92, L-44, L-3)",unknown,oxidative_stress,7.130116618359565e-05,stronger pathway-level coverage,-0.013333333333333327,0.05693333333333335,15,6,8,0,negative,weak or unclear signature
OSD-569_whole_blood_RNA,"(R+82) vs (L-92, L-44, L-3)",unknown,apoptosis,5.265265132927387e-05,stronger pathway-level coverage,-0.02121428571428571,0.04207142857142857,14,4,10,0,negative,weak or unclear signature
OSD-569_whole_blood_RNA,"(R+82) vs (L-92, L-44, L-3)",unknown,cell_cycle_checkpoint,4.1713301599932784e-05,stronger pathway-level coverage,-0.007153846153846155,0.03330769230769231,13,5,7,0,negative,weak or unclear signature
OSD-570_PBMC_snRNA,(R+45)_vs_(R+1),CD16+ Monocyte,DNA_repair,0.35687067594401506,limited pathway-level signal,0.154871234092737,0.34541864504066905,3,2,1,1,positive,weak or unclear signature
OSD-570_PBMC_snRNA,(R+45)_vs_(R+1),CD16+ Monocyte,oxidative_stress,1.135604041940302,limited pathway-level signal,-0.3466468461270288,0.3466468461270288,4,0,4,3,negative,pathway genes changed but mostly downregulated
OSD-570_PBMC_snRNA,(R+45)_vs_(R+1),CD16+ Monocyte,cell_cycle_checkpoint,1.06554657426435,limited pathway-level signal,0.42145761808633336,0.42145761808633336,3,3,0,2,positive,moderate positive DNA damage-response signature
OSD-570_PBMC_snRNA,(R+45)_vs_(R+1),Dendritic Cell,DNA_repair,0.029180318542500614,limited pathway-level signal,0.13818662762093334,0.36571499841292,3,2,1,0,positive,weak or unclear signature
OSD-570_PBMC_snRNA,(R+45)_vs_(R+1),Dendritic Cell,oxidative_stress,0.6494534676916411,limited pathway-level signal,-0.3708752685101664,0.3708752685101664,3,0,3,1,negative,weak or unclear signature
OSD-570_PBMC_snRNA,(R+45)_vs_(R+1),Dendritic Cell,cell_cycle_checkpoint,0.0,limited pathway-level signal,0.3364297383887833,0.3364297383887833,3,3,0,0,positive,weak or unclear signature
OSD-570_PBMC_snRNA,(R+45)_vs_(R+1),Other,DNA_repair,1.619363931094595,limited pathway-level signal,0.41351549143476635,0.41351549143476635,3,3,0,2,positive,moderate positive DNA damage-response signature
