rank,pathway,overlapping_gene_count,pathway_rank_metric,average_signed_effect,average_absolute_effect,upregulated_gene_count,downregulated_gene_count,significant_gene_count,direction,dataset_name,comparison,cell_type,interpretation_label,evidence_tier
1,DNA_repair,3,1.619363931094595,0.41351549143476635,0.41351549143476635,3,0,2,positive,OSD-570_PBMC_snRNA,(R+45)_vs_(R+1),Other,moderate positive DNA damage-response signature,limited pathway-level signal
2,oxidative_stress,4,1.135604041940302,-0.3466468461270288,0.3466468461270288,0,4,3,negative,OSD-570_PBMC_snRNA,(R+45)_vs_(R+1),CD16+ Monocyte,pathway genes changed but mostly downregulated,limited pathway-level signal
3,cell_cycle_checkpoint,3,1.06554657426435,0.42145761808633336,0.42145761808633336,3,0,2,positive,OSD-570_PBMC_snRNA,(R+45)_vs_(R+1),CD16+ Monocyte,moderate positive DNA damage-response signature,limited pathway-level signal
4,oxidative_stress,3,0.6494534676916411,-0.3708752685101664,0.3708752685101664,0,3,1,negative,OSD-570_PBMC_snRNA,(R+45)_vs_(R+1),Dendritic Cell,weak or unclear signature,limited pathway-level signal
5,DNA_repair,3,0.35687067594401506,0.154871234092737,0.34541864504066905,2,1,1,positive,OSD-570_PBMC_snRNA,(R+45)_vs_(R+1),CD16+ Monocyte,weak or unclear signature,limited pathway-level signal
6,DNA_repair,3,0.029180318542500614,0.13818662762093334,0.36571499841292,2,1,0,positive,OSD-570_PBMC_snRNA,(R+45)_vs_(R+1),Dendritic Cell,weak or unclear signature,limited pathway-level signal
7,oxidative_stress,15,7.130116618359565e-05,-0.013333333333333327,0.05693333333333335,6,8,0,negative,OSD-569_whole_blood_RNA,"(R+82) vs (L-92, L-44, L-3)",unknown,weak or unclear signature,stronger pathway-level coverage
8,DNA_repair,21,5.946924333861205e-05,-0.02076190476190476,0.04752380952380953,8,13,0,negative,OSD-569_whole_blood_RNA,"(R+82) vs (L-92, L-44, L-3)",unknown,weak or unclear signature,stronger pathway-level coverage
9,apoptosis,14,5.265265132927387e-05,-0.02121428571428571,0.04207142857142857,4,10,0,negative,OSD-569_whole_blood_RNA,"(R+82) vs (L-92, L-44, L-3)",unknown,weak or unclear signature,stronger pathway-level coverage
10,p53_pathway,14,4.5263955447766054e-05,-0.019142857142857145,0.03614285714285714,2,12,0,negative,OSD-569_whole_blood_RNA,"(R+82) vs (L-92, L-44, L-3)",unknown,weak or unclear signature,stronger pathway-level coverage
11,cell_cycle_checkpoint,13,4.1713301599932784e-05,-0.007153846153846155,0.03330769230769231,5,7,0,negative,OSD-569_whole_blood_RNA,"(R+82) vs (L-92, L-44, L-3)",unknown,weak or unclear signature,stronger pathway-level coverage
12,cell_cycle_checkpoint,3,0.0,0.3364297383887833,0.3364297383887833,3,0,0,positive,OSD-570_PBMC_snRNA,(R+45)_vs_(R+1),Dendritic Cell,weak or unclear signature,limited pathway-level signal
